BAST	fHbp_peptide	NHBA_peptide	NadA_peptide	PorA_VR1	PorA_VR2	MenDeVAR_Bexsero_reactivity	MenDeVAR_Trumenba_reactivity
1456	245	12	0	18-1	3	insufficient data	insufficient data
1457	245	24	0	5-1	9	insufficient data	insufficient data
1458	24	61	0	18-1	2-14	insufficient data	insufficient data
1459	24	61	0	18-1	2-16	insufficient data	insufficient data
1460	24	78	0	7-2	13-1	insufficient data	insufficient data
1461	249	20	0	7-2	30-3	insufficient data	insufficient data
1462	25	24	0	12-1	30	insufficient data	cross-reactive
1463	25	24	0	5-1	10-26	insufficient data	cross-reactive
1464	25	804	0	5-1	2-2	insufficient data	cross-reactive
1465	260	20	0	5-1	10-7	insufficient data	insufficient data
1466	286	55	0	21	16	insufficient data	insufficient data
1467	286	55	0	5-1	10-1	insufficient data	insufficient data
1468	286	55	0	5-1	10-15	insufficient data	insufficient data
1469	294	18	0	5-1	10-4	insufficient data	insufficient data
1470	30	17	0	22	9-13	none	cross-reactive
1471	30	21	0	5-1	2-2	insufficient data	cross-reactive
1472	316	669	0	17-6	23	insufficient data	insufficient data
1473	31	7	0	5-1	10-1	insufficient data	insufficient data
1474	31	778	0	22	16	insufficient data	insufficient data
1475	318	122	0	22	14-6	insufficient data	insufficient data
1476	321	809	21	5-2	10-1	insufficient data	insufficient data
1477	327	17	0	22	9	insufficient data	insufficient data
1478	333	63	0	5-1	2-2	insufficient data	insufficient data
1479	34	24	0	18-7	9	insufficient data	insufficient data
1480	34	24	0	5-2	10-16	insufficient data	insufficient data
1481	37	54	0	22	14-1	cross-reactive	insufficient data
1482	37	6	0	5-1	10-1	cross-reactive	insufficient data
1483	37	6	0	5	2-16	cross-reactive	insufficient data
1484	37	89	0	5-2	10-4	cross-reactive	insufficient data
1485	4	10	0	17	9	cross-reactive	cross-reactive
1486	4	10	0	18	25-22	cross-reactive	cross-reactive
1487	4	111	0	7-2	4	exact match	cross-reactive
1488	4	2	0	18-7	9-5	exact match	cross-reactive
1489	45	29	79	17	4	exact match	exact match
1490	456	29	0	21	16-20	insufficient data	insufficient data
1491	456	29	6	5	2	cross-reactive	insufficient data
1492	4	7	0	7	30-5	cross-reactive	cross-reactive
1493	47	118	0	19-2	13-55	insufficient data	cross-reactive
1494	47	118	0	5-1	10-98	insufficient data	cross-reactive
1495	4	762	0	7-2	4	exact match	cross-reactive
1496	4	805	0	7-2	4	exact match	cross-reactive
1497	525	266	0	12-6	13-4	insufficient data	insufficient data
1498	536	20	0	22	14	insufficient data	insufficient data
1499	555	10	0	17	16-3	cross-reactive	insufficient data
1500	584	20	0	12-1	13-2	insufficient data	insufficient data
1501	585	9	0	5-1	10-4	insufficient data	insufficient data
1502	586	67	91	12-3	4	exact match	insufficient data
1503	61	17	0	17	9	insufficient data	insufficient data
1504	61	17	0	22	9	insufficient data	insufficient data
1505	622	191	0	19-1	15-11	insufficient data	insufficient data
1506	691	2	0	19	15-1	exact match	insufficient data
1507	698	17	0	22	9	insufficient data	insufficient data
1508	19	203	0	17-1	23	insufficient data	cross-reactive
1509	15	195	0	19-1	15-11	cross-reactive	cross-reactive
1510	15	201	0	19-1	15-11	cross-reactive	cross-reactive
1511	13	93	0	22	9	insufficient data	cross-reactive
1512	19	194	0	22	9	insufficient data	cross-reactive
1513	13	198	0	5-1	10-1	insufficient data	cross-reactive
1514	21	119	0	7-2	4	exact match	cross-reactive
1515	4	182	0	7-2	4	exact match	cross-reactive
1516	4	185	0	7-2	4	exact match	cross-reactive
1517	4	186	0	7-2	4	exact match	cross-reactive
1518	4	196	0	7-2	4	exact match	cross-reactive
1519	4	200	0	7-2	4	exact match	cross-reactive
1520	0	20	0	5-1	10-8	insufficient data	none
1521	0	3	21	7	16-26	insufficient data	none
1522	1	0	0	19	15	exact match	cross-reactive
1523	102	29	79	22	14	insufficient data	insufficient data
1524	110	18	79	22	14	cross-reactive	insufficient data
1525	118	563	79	21	16	insufficient data	insufficient data
1526	1	18	79	22	14	exact match	cross-reactive
1527	12	18	79	22	14	cross-reactive	insufficient data
1528	13	0	0	21	16	insufficient data	cross-reactive
1529	13	0	0	22	9	insufficient data	cross-reactive
1530	13	0	79	22	14	insufficient data	cross-reactive
1531	13	0	8	21	16	exact match	cross-reactive
1532	13	114	0	17	9	insufficient data	cross-reactive
1533	13	114	0	22	14	insufficient data	cross-reactive
1534	13	18	79	22	14	insufficient data	cross-reactive
1535	13	563	79	21	16	insufficient data	cross-reactive
1536	141	18	79	5-35	10-4	insufficient data	insufficient data
1537	143	0	0	17	16-3	insufficient data	insufficient data
1538	15	18	79	22	14	cross-reactive	cross-reactive
1539	16	0	0	18-1	30-2	none	cross-reactive
1540	185	18	79	22	14	insufficient data	insufficient data
1541	185	29	79	22	14	insufficient data	insufficient data
1542	187	10	79	22	14	cross-reactive	cross-reactive
1543	187	18	79	22	14	insufficient data	cross-reactive
1544	19	0	0	18-1	3	none	cross-reactive
1545	19	0	0	22	9	none	cross-reactive
1546	19	114	0	21-7	16	insufficient data	cross-reactive
1547	19	17	79	22	9	insufficient data	cross-reactive
1548	19	18	79	22	1	insufficient data	cross-reactive
1549	19	18	79	22	14	insufficient data	cross-reactive
1550	19	18	79	5-1	10-1	insufficient data	cross-reactive
1551	215	18	79	22	14	cross-reactive	insufficient data
1552	22	0	6	5	2	cross-reactive	insufficient data
1553	23	18	79	22	14	insufficient data	cross-reactive
1554	25	0	0	5-1	10-1	none	cross-reactive
1555	275	18	79	22	14	insufficient data	insufficient data
1556	276	18	79	22	14	insufficient data	cross-reactive
1557	29	18	79	22	14	insufficient data	insufficient data
1558	294	18	79	22	14	insufficient data	insufficient data
1559	297	18	79	22	14	insufficient data	insufficient data
1560	30	18	79	22-28	14	insufficient data	cross-reactive
1561	30	29	79	22	14	insufficient data	cross-reactive
1562	31	18	79	22	14	insufficient data	insufficient data
1563	31	29	79	22	14	insufficient data	insufficient data
1564	318	18	79	22	14	insufficient data	insufficient data
1565	345	18	79	22	14	insufficient data	insufficient data
1566	354	757	79	22	14	insufficient data	insufficient data
1567	364	29	79	22	14	insufficient data	insufficient data
1568	393	18	79	22	14	insufficient data	insufficient data
1569	4	0	0	12-1	16	cross-reactive	cross-reactive
1570	4	0	0	7-2	4	exact match	cross-reactive
1571	4	18	79	22	14	cross-reactive	cross-reactive
1572	450	18	79	22	14	insufficient data	insufficient data
1573	45	18	79	17-1	23-7	insufficient data	exact match
1574	45	18	79	18-1	14	insufficient data	exact match
1575	45	18	79	19	15	insufficient data	exact match
1576	45	18	79	22	14	insufficient data	exact match
1577	45	18	79	22	14-14	insufficient data	exact match
1578	45	18	79	22	14-32	insufficient data	exact match
1579	45	18	79	22	16-59	insufficient data	exact match
1580	45	24	79	22	14	insufficient data	exact match
1581	45	29	79	18-1	3	insufficient data	exact match
1582	45	29	79	22	14	insufficient data	exact match
1583	45	611	79	22	14	insufficient data	exact match
1584	45	676	79	17-1	23	insufficient data	exact match
1585	494	18	79	22	14	insufficient data	insufficient data
1586	494	29	79	22	14	insufficient data	insufficient data
1587	499	18	79	22	14	insufficient data	insufficient data
1588	525	0	0	12-6	13-4	insufficient data	insufficient data
1589	59	18	79	22	14	insufficient data	insufficient data
1590	603	18	79	22	14	insufficient data	insufficient data
1591	603	18	79	22	15	insufficient data	insufficient data
1592	611	18	79	22	14	insufficient data	insufficient data
1593	628	18	79	22	14	insufficient data	insufficient data
1594	645	18	79	22	14	insufficient data	insufficient data
1595	646	18	79	7-1	1	insufficient data	insufficient data
1596	819	0	0	21	16-36	insufficient data	insufficient data
1597	828	0	79	22	14	insufficient data	insufficient data
1598	829	0	0	12-1	13-1	insufficient data	insufficient data
1599	89	29	79	7-2	14	insufficient data	insufficient data
1600	0	20	3	5-1	10-8	cross-reactive	none
1601	106	21	0	18	10-4	insufficient data	insufficient data
1602	109	2	0	7-2	4	exact match	insufficient data
1603	110	10	0	5-1	2-5	cross-reactive	insufficient data
1604	119	207	0	21	16-36	insufficient data	insufficient data
1605	13	17	0	19	15	insufficient data	cross-reactive
1606	13	17	0	5-1	10-4	insufficient data	cross-reactive
1607	13	17	0	5-1	2-2	insufficient data	cross-reactive
1608	13	183	0	7-2	4	exact match	cross-reactive
1609	13	192	0	7-2	4	exact match	cross-reactive
1610	13	2	0	7-2	4	exact match	cross-reactive
1611	13	25	0	21	16-20	insufficient data	cross-reactive
1612	147	17	0	22	9	insufficient data	insufficient data
1613	15	21	0	17	16-95	cross-reactive	cross-reactive
1614	15	21	0	18	14-9	cross-reactive	cross-reactive
1615	15	21	0	19-1	14	cross-reactive	cross-reactive
1616	15	21	0	19-1	15-1	cross-reactive	cross-reactive
1617	15	21	0	19-1	15-42	cross-reactive	cross-reactive
1618	15	21	0	19-1	15-43	cross-reactive	cross-reactive
1619	15	21	0	19	13-2	cross-reactive	cross-reactive
1620	15	21	0	22	13-1	cross-reactive	cross-reactive
1621	15	21	0	5-1	10-1	cross-reactive	cross-reactive
1622	15	21	0	5-2	10	cross-reactive	cross-reactive
1623	15	21	0	7-2	16-98	cross-reactive	cross-reactive
1624	15	31	0	17-1	23	cross-reactive	cross-reactive
1625	160	116	0	21	3	insufficient data	insufficient data
1626	16	115	0	22-1	14	insufficient data	cross-reactive
1627	16	2	0	7-2	4	exact match	cross-reactive
1628	16	21	0	7	9	insufficient data	cross-reactive
1629	19	17	0	5-1	10-4	none	cross-reactive
1630	19	17	0	7	15	none	cross-reactive
1631	19	2	0	19-3	15	exact match	cross-reactive
1632	19	21	0	5-1	10-4	insufficient data	cross-reactive
1633	19	24	0	5-1	10-26	insufficient data	cross-reactive
1634	19	89	0	5-1	2-2	insufficient data	cross-reactive
1635	202	47	0	5-1	2-48	insufficient data	insufficient data
1636	210	18	0	22	14	insufficient data	insufficient data
1637	21	20	0	22	14-19	insufficient data	cross-reactive
1638	21	31	0	7-2	4	exact match	cross-reactive
1639	236	2	0	7-2	4-10	exact match	insufficient data
1640	238	47	0	7	16-2	insufficient data	insufficient data
1641	249	118	0	5-1	10-1	insufficient data	insufficient data
1642	254	21	0	19-1	16	insufficient data	insufficient data
1643	29	21	0	17-1	23	insufficient data	insufficient data
1644	292	21	0	22	14	insufficient data	insufficient data
1645	295	17	0	22	9	insufficient data	insufficient data
1646	297	31	0	17-1	23	insufficient data	insufficient data
1647	298	21	0	22	9	insufficient data	insufficient data
1648	300	17	0	22	9	insufficient data	insufficient data
1649	301	122	0	17	16-3	insufficient data	insufficient data
1650	30	21	0	5-1	15-11	insufficient data	cross-reactive
1651	304	197	0	19	13	insufficient data	insufficient data
1652	305	21	0	5-1	2-2	insufficient data	insufficient data
1653	308	21	0	7-2	4	exact match	insufficient data
1654	310	17	0	22	9	insufficient data	insufficient data
1655	311	20	0	12-1	13	insufficient data	insufficient data
1656	312	118	0	19-2	13-9	insufficient data	insufficient data
1657	313	2	0	7-1	1	exact match	insufficient data
1658	318	21	0	21	16	insufficient data	insufficient data
1659	37	199	0	22	14	cross-reactive	insufficient data
1660	37	199	0	7-1	1	cross-reactive	insufficient data
1661	4	17	0	19	16	cross-reactive	cross-reactive
1662	4	2	0	17-1	23	exact match	cross-reactive
1663	4	2	0	18	25-1	exact match	cross-reactive
1664	4	2	0	19-1	14	exact match	cross-reactive
1665	4	2	0	21	16	exact match	cross-reactive
1666	4	2	0	7	30-3	exact match	cross-reactive
1667	4	31	0	22	14	cross-reactive	cross-reactive
1668	4	47	0	7-2	4	exact match	cross-reactive
1669	47	118	0	17	9	insufficient data	cross-reactive
1670	47	118	0	5-1	10-1	insufficient data	cross-reactive
1671	47	197	0	22	14	none	cross-reactive
1672	54	20	0	22	14	insufficient data	insufficient data
1673	62	122	0	12-1	13-2	insufficient data	insufficient data
1674	68	17	0	22	9	insufficient data	insufficient data
1675	83	21	0	12-1	13-1	insufficient data	insufficient data
1676	84	116	0	21	16-32	insufficient data	insufficient data
1677	87	47	0	21	16	insufficient data	cross-reactive
1678	95	21	0	5-1	10-8	insufficient data	insufficient data
1679	360	20	0	5-1	10-8	insufficient data	insufficient data
1680	1	3	0	7-2	14	exact match	cross-reactive
1681	14	30	0	7-31	1	cross-reactive	cross-reactive
1682	14	30	21	17-1	23	cross-reactive	cross-reactive
1683	110	3	1	7	16	cross-reactive	insufficient data
1684	1	205	1	19	15	exact match	cross-reactive
1685	45	20	0	22	14	insufficient data	exact match
1686	174	18	0	22	14	insufficient data	insufficient data
1687	212	24	0	22	14	insufficient data	insufficient data
1688	30	24	0	22	14	insufficient data	cross-reactive
1689	85	18	0	5-2	10-1	insufficient data	insufficient data
1690	24	18	0	22	14	none	insufficient data
1691	45	206	0	22	14	insufficient data	exact match
1692	118	17	0	22	9	insufficient data	insufficient data
1693	307	30	21	7-1	1	insufficient data	insufficient data
1694	30	29	0	22	14	insufficient data	cross-reactive
1695	45	189	0	22	14	insufficient data	exact match
1696	1	204	1	7	13-1	exact match	cross-reactive
1697	45	202	79	7-2	13-1	insufficient data	exact match
1698	34	6	21	0	0	insufficient data	insufficient data
1699	943	20	0	22	14	insufficient data	insufficient data
1700	944	20	0	22	14	insufficient data	insufficient data
1701	144	20	0	22	14	cross-reactive	insufficient data
1702	14	188	0	7	30-5	cross-reactive	cross-reactive
1703	19	31	0	5-2	10-2	none	cross-reactive
1704	720	20	0	12-1	13-2	insufficient data	insufficient data
1705	13	20	0	18-1	3	insufficient data	cross-reactive
1706	14	1	0	22	9	cross-reactive	cross-reactive
1707	197	114	0	5-1	2-2	insufficient data	insufficient data
1708	649	2	0	12-1	13-1	exact match	insufficient data
1709	110	657	0	12-1	13-2	cross-reactive	insufficient data
1710	724	10	0	17	16-93	cross-reactive	insufficient data
1711	260	239	0	18-1	30-8	insufficient data	insufficient data
1712	13	20	0	22-1	14	insufficient data	cross-reactive
1713	650	21	0	22-1	14	insufficient data	insufficient data
1714	19	470	0	18-1	1	insufficient data	cross-reactive
1715	321	101	8	0	0	exact match	insufficient data
1716	13	20	152	5-1	10-8	insufficient data	cross-reactive
1717	19	225	0	7-2	13-2	insufficient data	cross-reactive
1718	13	24	0	5-1	10-1	insufficient data	cross-reactive
1719	108	13	0	0	0	insufficient data	insufficient data
1720	321	647	0	7-1	1	insufficient data	insufficient data
1721	0	3	2	5	2	insufficient data	none
1722	4	2	0	7-2	30-30	exact match	cross-reactive
1723	525	2	0	12-6	13-4	exact match	insufficient data
1724	525	2	0	12-6	13-26	exact match	insufficient data
1725	22	3	1	19-1	15	insufficient data	insufficient data
1726	16	9	0	7	16-13	none	cross-reactive
1727	12	6	0	19-5	15-61	cross-reactive	insufficient data
1728	106	21	0	22	9-10	insufficient data	insufficient data
1729	13	24	0	5-26	10-46	insufficient data	cross-reactive
1730	510	29	1	18-1	30-6	insufficient data	cross-reactive
1731	19	17	0	22	9-25	none	cross-reactive
1732	16	21	0	22-1	14-6	insufficient data	cross-reactive
1733	16	21	0	18	25-11	insufficient data	cross-reactive
1734	202	10	0	7-4	1	cross-reactive	insufficient data
1735	94	10	0	19-1	13-43	cross-reactive	insufficient data
1736	94	10	0	18	25-61	cross-reactive	insufficient data
1737	94	10	0	18	25-68	cross-reactive	insufficient data
1738	4	10	0	7-2	13	cross-reactive	cross-reactive
1739	4	10	0	5-1	10-4	cross-reactive	cross-reactive
1740	4	10	0	19-1	15-11	cross-reactive	cross-reactive
1741	4	10	0	18	25-44	cross-reactive	cross-reactive
1742	334	10	0	18	25	cross-reactive	insufficient data
1743	334	10	0	18	25-19	cross-reactive	insufficient data
1744	102	58	0	7-2	30	insufficient data	insufficient data
1745	102	58	0	7-2	30-3	insufficient data	insufficient data
1746	102	58	0	7	30-4	insufficient data	insufficient data
1747	13	470	0	5	2	insufficient data	cross-reactive
1748	16	311	0	22-1	14	insufficient data	cross-reactive
1749	302	31	0	19	15-4	insufficient data	insufficient data
1750	4	2	0	7-4	1-16	exact match	cross-reactive
1751	19	115	0	22-1	14	insufficient data	cross-reactive
1752	0	20	2	5	2	insufficient data	none
1753	316	0	0	19-2	13-1	insufficient data	insufficient data
1754	366	291	0	17	16-28	insufficient data	insufficient data
1755	119	24	0	21	16-36	insufficient data	insufficient data
1756	14	2	0	7-2	4-10	exact match	cross-reactive
1757	25	8	0	5-2	10-1	insufficient data	cross-reactive
1758	14	20	0	7-2	4	exact match	cross-reactive
1759	4	2	0	12-1	16-117	exact match	cross-reactive
1760	825	21	0	22	9	insufficient data	insufficient data
1761	822	755	0	12-3	4	exact match	insufficient data
1762	886	29	6	5	2	cross-reactive	insufficient data
1763	887	2	0	18-1	34	exact match	insufficient data
1764	888	120	1	19	15	insufficient data	insufficient data
1765	16	20	0	18-1	3-19	insufficient data	cross-reactive
1766	15	21	0	19	15-11	cross-reactive	cross-reactive
1767	141	801	0	17-1	23-2	insufficient data	insufficient data
1768	1	255	1	7	30-31	exact match	cross-reactive
1769	891	21	0	5-1	2-2	insufficient data	insufficient data
1770	13	101	146	22	14	insufficient data	cross-reactive
1771	892	29	6	5	2	cross-reactive	insufficient data
1772	13	803	0	12-14	13-29	insufficient data	cross-reactive
1773	893	3	100	7-2	16	insufficient data	insufficient data
1774	950	114	0	12-1	10-2	insufficient data	insufficient data
1775	894	20	0	7-2	4	exact match	insufficient data
1776	928	20	0	18-7	9-5	insufficient data	insufficient data
1777	165	8	0	5-2	10-2	insufficient data	insufficient data
1778	929	7	0	5-1	10-1	insufficient data	insufficient data
1779	4	865	0	7-2	4	exact match	cross-reactive
1780	22	29	6	22	2	cross-reactive	insufficient data
1781	316	118	0	19-2	13-1	insufficient data	insufficient data
1782	16	145	0	19	15	insufficient data	cross-reactive
1783	4	884	0	12-1	16	cross-reactive	cross-reactive
1784	401	3	100	21-7	10-4	insufficient data	insufficient data
1785	13	17	0	7-2	4	exact match	cross-reactive
1786	4	10	0	7-2	4	exact match	cross-reactive
1787	339	2	0	18-1	34	exact match	insufficient data
1788	25	7	0	18-1	30-2	insufficient data	cross-reactive
1789	47	197	0	19-1	13-2	none	cross-reactive
1790	22	29	157	5	2	insufficient data	insufficient data
1791	160	24	0	5	2	insufficient data	insufficient data
1792	25	662	0	5-1	10-1	insufficient data	cross-reactive
1793	4	2	0	12-1	2	exact match	cross-reactive
